NEH,pxt,RMSE
22,0.04880025,0.0215270904898907
22,0.04890025,0.0213361348890158
22,0.04900026,0.0211455142516767
22,0.04910026,0.0209552440395122
22,0.04920026,0.0207653418803215
22,0.04930026,0.020575767571778
22,0.04940026,0.0203865809683079
22,0.04950026,0.0201977546038432
22,0.04960027,0.0200092947006403
22,0.04970027,0.0198212177640369
22,0.04980027,0.0196335172592304
22,0.04990027,0.019446221271568
23,0.04670022,0.0215223510486127
23,0.04680022,0.0213229828942496
23,0.04690022,0.0211240052281008
23,0.04700022,0.0209254035568963
23,0.04710022,0.0207271755550455
23,0.04720023,0.0205293511050161
23,0.04730023,0.0203319166275839
23,0.04740023,0.0201349015465402
23,0.04750023,0.0199382864182324
23,0.04760023,0.0197420917184122
23,0.04770023,0.0195463419210163
23,0.04780024,0.0193509989130213
23,0.04790024,0.0191561049589823
23,0.04800024,0.018961650051228
23,0.04810024,0.0187676542676818
23,0.04820024,0.018574128955994
23,0.04830024,0.0183810745413545
23,0.04840025,0.0181885009266491
23,0.04850025,0.0179964111181487
23,0.04860025,0.017804823314639
23,0.04870025,0.0176137452699742
23,0.04880025,0.0174231980994005
23,0.04890025,0.0172331741610617
23,0.04900026,0.0170436948362659
23,0.04910026,0.0168547751199239
23,0.04920026,0.01666642117217
23,0.04930026,0.0164786615999457
23,0.04940026,0.0162914701129858
23,0.04950026,0.0161049189556684
23,0.04960027,0.0159189767692811
23,0.04970027,0.0157336654398731
23,0.04980027,0.015549013963845
23,0.04990027,0.0153650316059331
24,0.04490019,0.0212551940746625
24,0.04500019,0.021047956423425
24,0.04510019,0.0208411242560713
24,0.04520019,0.0206347351966647
24,0.04530019,0.0204287664483774
24,0.04540019,0.0202232413480375
24,0.0455002,0.0200181734686164
24,0.0456002,0.0198135520525112
24,0.0457002,0.0196093712745892
24,0.0458002,0.0194056851458983
24,0.0459002,0.0192024752471473
24,0.0460002,0.0189997392740097
24,0.04610021,0.0187975159957675
24,0.04620021,0.0185957801832388
24,0.04630021,0.0183945738471539
24,0.04640021,0.0181938956092071
24,0.04650021,0.0179937370697785
24,0.04660022,0.0177941359035207
24,0.04670022,0.0175950919692248
24,0.04680022,0.0173966283485449
24,0.04690022,0.0171987295375286
24,0.04700022,0.01700144073724
24,0.04710022,0.0168047669927145
24,0.04720023,0.0166087053660486
24,0.04730023,0.0164133045598152
24,0.04740023,0.0162185314100952
24,0.04750023,0.0160244517022027
24,0.04760023,0.015831045446704
24,0.04770023,0.01563835807111
24,0.04780024,0.0154463950169991
24,0.04790024,0.0152551809577286
24,0.04800024,0.0150647153513703
24,0.04810024,0.0148750575091384
24,0.04820024,0.0146861947308266
24,0.04830024,0.0144981634590419
24,0.04840025,0.0143109899114728
24,0.04850025,0.014124713489964
24,0.04860025,0.0139393308871907
24,0.04870025,0.0137548890014294
24,0.04880025,0.0135714212828181
24,0.04890025,0.0133889566511835
24,0.04900026,0.0132075133237467
24,0.04910026,0.0130271325217193
24,0.04920026,0.0128478631218242
24,0.04930026,0.0126697175386822
24,0.04940026,0.0124927734676192
24,0.04950026,0.0123170232450756
24,0.04960027,0.012142559059578
24,0.04970027,0.0119693786395133
24,0.04980027,0.0117975704655132
24,0.04990027,0.0116271693250689
25,0.04320016,0.0210815865235701
25,0.04330016,0.0208663316015103
25,0.04340016,0.0206515467452584
25,0.04350016,0.0204372210519487
25,0.04360016,0.020223376329578
25,0.04370017,0.0200100285765915
25,0.04380017,0.0197971652965797
25,0.04390017,0.0195848142222652
25,0.04400017,0.0193729651447699
25,0.04410017,0.0191616466517312
25,0.04420017,0.0189508481254467
25,0.04430018,0.0187406119677614
25,0.04440018,0.0185309133984516
25,0.04450018,0.0183217851237698
25,0.04460018,0.0181132311530931
25,0.04470018,0.0179052729881661
25,0.04480018,0.0176978948605189
25,0.04490019,0.0174911598165373
25,0.04500019,0.017285040833155
25,0.04510019,0.0170795698209624
25,0.04520019,0.0168747480969772
25,0.04530019,0.0166706379274474
25,0.04540019,0.0164671999244707
25,0.0455002,0.0162644555568668
25,0.0456002,0.016062455047634
25,0.0457002,0.0158611917721428
25,0.0458002,0.0156606949381414
25,0.0459002,0.0154610031918432
25,0.0460002,0.0152621043321408
25,0.04610021,0.0150640428162441
25,0.04620021,0.0148668399154594
25,0.04630021,0.0146705183957773
25,0.04640021,0.0144751004622098
25,0.04650021,0.0142806206961189
25,0.04660022,0.0140871261726374
25,0.04670022,0.0138946228374445
25,0.04680022,0.0137031454332551
25,0.04690022,0.0135127299572833
25,0.04700022,0.0133234039502078
25,0.04710022,0.0131352265688841
25,0.04720023,0.0129482166264447
25,0.04730023,0.0127624461392072
25,0.04740023,0.0125779082797051
25,0.04750023,0.0123947009963443
25,0.04760023,0.0122128422286187
25,0.04770023,0.0120323754583084
25,0.04780024,0.0118533790009934
25,0.04790024,0.0116759007857521
25,0.04800024,0.0114999994713826
25,0.04810024,0.0113257163313714
25,0.04820024,0.011153141248195
25,0.04830024,0.0109823303269846
25,0.04840025,0.010813377882182
25,0.04850025,0.0106463265622823
25,0.04860025,0.0104812819309551
25,0.04870025,0.01031831036795
25,0.04880025,0.0101575035492144
25,0.04890025,0.00999894775373117
25,0.04900026,0.00984276190641294
25,0.04910026,0.00968903494001395
25,0.04920026,0.00953783823681494
25,0.04930026,0.00938933590422146
25,0.04940026,0.00924360782820872
25,0.04950026,0.00910082612194668
25,0.04960027,0.00896102178110639
25,0.04970027,0.00882441517073569
25,0.04980027,0.00869110043021034
25,0.04990027,0.00856121102559056
26,0.04160013,0.0209751709804139
26,0.04170013,0.0207518071801114
26,0.04180013,0.0205289387674367
26,0.04190014,0.0203065824019074
26,0.04200014,0.0200847690985102
26,0.04210014,0.0198634674581086
26,0.04220014,0.0196427218463669
26,0.04230014,0.0194225192674257
26,0.04240014,0.0192029016487673
26,0.04250015,0.0189838416086764
26,0.04260015,0.0187653816169724
26,0.04270015,0.0185475064879996
26,0.04280015,0.0183302572855091
26,0.04290015,0.0181136339558769
26,0.04300015,0.0178976472508213
26,0.04310016,0.0176822933282502
26,0.04320016,0.0174676380218393
26,0.04330016,0.017253656189283
26,0.04340016,0.0170403777536638
26,0.04350016,0.0168278168796058
26,0.04360016,0.0166159903957336
26,0.04370017,0.0164049185436264
26,0.04380017,0.0161946315002851
26,0.04390017,0.0159851563910794
26,0.04400017,0.0157764753624815
26,0.04410017,0.0155686386458588
26,0.04420017,0.0153616836984832
26,0.04430018,0.0151556117391213
26,0.04440018,0.0149504527607679
26,0.04450018,0.0147462579080186
26,0.04460018,0.0145430238711646
26,0.04470018,0.0143408083897844
26,0.04480018,0.0141396297688269
26,0.04490019,0.0139395031585327
26,0.04500019,0.013740513598802
26,0.04510019,0.0135426690429077
26,0.04520019,0.0133460115944812
26,0.04530019,0.0131506280953301
26,0.04540019,0.0129564727965832
26,0.0455002,0.0127636464410064
26,0.0456002,0.0125721802413087
26,0.0457002,0.0123821373696826
26,0.0458002,0.0121935696810923
26,0.0459002,0.0120065438788115
26,0.0460002,0.0118210909718533
26,0.04610021,0.0116373017157125
26,0.04620021,0.011455252937236
26,0.04630021,0.0112749768706107
26,0.04640021,0.0110965874277863
26,0.04650021,0.010920125827528
26,0.04660022,0.0107457015919632
26,0.04670022,0.0105734074962383
26,0.04680022,0.010403318989435
26,0.04690022,0.0102355100066878
26,0.04700022,0.0100701082061947
26,0.04710022,0.00990722831721386
26,0.04720023,0.00974697140593561
26,0.04730023,0.00958946742426997
26,0.04740023,0.00943480595080411
26,0.04750023,0.00928310889468151
26,0.04760023,0.00913456823943952
26,0.04770023,0.00898928726121561
26,0.04780024,0.00884738811482755
26,0.04790024,0.00870905880289877
26,0.04800024,0.00857443244041847
26,0.04810024,0.00844369159378978
26,0.04820024,0.00831697095172922
26,0.04830024,0.00819446761036095
26,0.04840025,0.00807634513120179
26,0.04850025,0.00796276712339617
26,0.04860025,0.00785394987232816
26,0.04870025,0.00775004083509259
26,0.04880025,0.00765124085764022
26,0.04890025,0.00755772979119349
26,0.04900026,0.00746968749769835
26,0.04910026,0.00738727174924636
26,0.04920026,0.00731069691090974
26,0.04930026,0.00724009276124451
26,0.04940026,0.00717560764071053
26,0.04950026,0.00711741825414439
26,0.04960027,0.00706567322780051
26,0.04970027,0.00702043404686057
26,0.04980027,0.00698187039436007
27,0.04010011,0.0209099618978646
27,0.04020011,0.0206783978559967
27,0.04030011,0.0204473969555582
27,0.04040011,0.0202169424406066
27,0.04050011,0.0199870797274613
27,0.04060011,0.0197577853388638
27,0.04070012,0.0195290812747983
27,0.04080012,0.0193009750164416
27,0.04090012,0.0190735017013847
27,0.04100012,0.0188466532151117
27,0.04110012,0.0186204483148798
27,0.04120012,0.0183949143221118
27,0.04130013,0.0181700440524513
27,0.04140013,0.0179458517355302
27,0.04150013,0.0177223729043336
27,0.04160013,0.0174996234385596
27,0.04170013,0.0172776031276707
27,0.04180013,0.0170563258812119
27,0.04190014,0.016835852877199
27,0.04200014,0.0166161779188233
27,0.04210014,0.0163972983113436
27,0.04220014,0.0161792682956849
27,0.04230014,0.0159621044177085
27,0.04240014,0.0157458346738111
27,0.04250015,0.0155304816923642
27,0.04260015,0.0153160829949674
27,0.04270015,0.0151026267845423
27,0.04280015,0.0148902005294552
27,0.04290015,0.0146787893922107
27,0.04300015,0.0144684561708022
27,0.04310016,0.0142592328405364
27,0.04320016,0.0140511307613321
27,0.04330016,0.0138442278862107
27,0.04340016,0.0136385367210554
27,0.04350016,0.0134341039771298
27,0.04360016,0.0132309999035148
27,0.04370017,0.0130292440890757
27,0.04380017,0.0128289195887805
27,0.04390017,0.0126300275132701
27,0.04400017,0.0124326713518903
27,0.04410017,0.0122368944240441
27,0.04420017,0.01204277352173
27,0.04430018,0.0118503497078276
27,0.04440018,0.0116597207815188
27,0.04450018,0.0114709335997338
27,0.04460018,0.0112840990637846
27,0.04470018,0.0110992788636706
27,0.04480018,0.010916574818996
27,0.04490019,0.0107360516454466
27,0.04500019,0.0105578316963437
27,0.04510019,0.0103820183935189
27,0.04520019,0.010208705232634
27,0.04530019,0.0100381295515369
27,0.04540019,0.00987017991716737
27,0.0455002,0.00970511463992767
27,0.0456002,0.00954304418174744
27,0.0457002,0.00938411027128024
27,0.0458002,0.00922842598511952
27,0.0459002,0.00907620348555649
27,0.0460002,0.00892758729265746
27,0.04610021,0.00878270375399015
27,0.04620021,0.00864177413230137
27,0.04630021,0.0085049157953212
27,0.04640021,0.0083723640946725
27,0.04650021,0.00824429337992773
27,0.04660022,0.0081208735190598
27,0.04670022,0.00800230412850745
27,0.04680022,0.00788882610066913
27,0.04690022,0.00778058939783804
27,0.04700022,0.00767782503328123
27,0.04710022,0.00758074968447225
27,0.04720023,0.00748953189397112
27,0.04730023,0.00740437777182218
27,0.04740023,0.00732546279336476
27,0.04750023,0.00725301633331842
27,0.04760023,0.00718715008558423
27,0.04770023,0.00712808409410771
27,0.04780024,0.00707592142662783
27,0.04790024,0.0070308150484019
27,0.04800024,0.0069929064305702
28,0.03870008,0.0208601967599886
28,0.03880008,0.0206204271738715
28,0.03890008,0.0203812627966704
28,0.03900009,0.0201427104864019
28,0.03910009,0.019904758736853
28,0.03920009,0.0196674523490406
28,0.03930009,0.0194307829789476
28,0.03940009,0.0191947766839428
28,0.03950009,0.0189594454100063
28,0.0396001,0.0187247945074872
28,0.0397001,0.0184908674358438
28,0.0398001,0.0182576488431135
28,0.0399001,0.0180251632675114
28,0.0400001,0.0177934336799124
28,0.04010011,0.0175624685071277
28,0.04020011,0.0173322999581153
28,0.04030011,0.0171029438474497
28,0.04040011,0.0168744266607782
28,0.04050011,0.0166467460207159
28,0.04060011,0.0164199805229866
28,0.04070012,0.0161941027487674
28,0.04080012,0.0159691626373985
28,0.04090012,0.0157451623144853
28,0.04100012,0.015522161010356
28,0.04110012,0.0153001934413895
28,0.04120012,0.0150792694344797
28,0.04130013,0.014859427991728
28,0.04140013,0.0146407165209489
28,0.04150013,0.0144231691467488
28,0.04160013,0.0142068021756617
28,0.04170013,0.0139916897902682
28,0.04180013,0.0137778507456108
28,0.04190014,0.0135653685818763
28,0.04200014,0.0133542592097977
28,0.04210014,0.013144578019079
28,0.04220014,0.0129364048491133
28,0.04230014,0.0127297570095535
28,0.04240014,0.0125247389267844
28,0.04250015,0.0123213972937782
28,0.04260015,0.0121197877784742
28,0.04270015,0.0119200165009488
28,0.04280015,0.011722132886779
28,0.04290015,0.0115262242781832
28,0.04300015,0.0113323951908873
28,0.04310016,0.011140708165166
28,0.04320016,0.01095127695774
28,0.04330016,0.0107641973606819
28,0.04340016,0.010579605754041
28,0.04350016,0.0103975481757831
28,0.04360016,0.0102182355408698
28,0.04370017,0.0100417075978154
28,0.04380017,0.00986816212253128
28,0.04390017,0.00969769193438558
28,0.04400017,0.00953049151399377
28,0.04410017,0.00936667547827553
28,0.04420017,0.0092064226438285
28,0.04430018,0.00904990792559646
28,0.04440018,0.0088972970006593
28,0.04450018,0.00874878144330949
28,0.04460018,0.00860456620559097
28,0.04470018,0.0084648245755088
28,0.04480018,0.00832976407796911
28,0.04490019,0.00819958164107703
28,0.04500019,0.00807454989447715
28,0.04510019,0.00795484896156726
28,0.04520019,0.0078406797208475
28,0.04530019,0.00773248761628663
28,0.04540019,0.00763012083812047
28,0.0455002,0.00753396883281957
28,0.0456002,0.00744427323435042
28,0.0457002,0.00736121565539983
28,0.0458002,0.0072850320589288
28,0.0459002,0.00721589556653939
28,0.0460002,0.00715398146816738
28,0.04610021,0.00709950289730204
28,0.04620021,0.00705252557704158
28,0.04630021,0.00701324176180815
28,0.04640021,0.00698173422708539
29,0.03740006,0.0208002993253642
29,0.03750006,0.0205523722953534
29,0.03760006,0.0203050795214391
29,0.03770006,0.0200584528663991
29,0.03780007,0.0198124900905761
29,0.03790007,0.0195672120689637
29,0.03800007,0.0193226414699506
29,0.03810007,0.0190787944742126
29,0.03820007,0.0188356683990417
29,0.03830007,0.018593286484042
29,0.03840008,0.0183516819175665
29,0.03850008,0.0181108611195602
29,0.03860008,0.0178708294859955
29,0.03870008,0.0176316465414928
29,0.03880008,0.0173932956594883
29,0.03890008,0.0171558116441502
29,0.03900009,0.0169192244109728
29,0.03910009,0.0166835608017085
29,0.03920009,0.0164488261380572
29,0.03930009,0.0162150777024035
29,0.03940009,0.0159823250709757
29,0.03950009,0.0157505948187642
29,0.0396001,0.0155199449729409
29,0.0397001,0.0152903796344535
29,0.0398001,0.0150619496430862
29,0.0399001,0.0148347003409202
29,0.0400001,0.014608664376185
29,0.04010011,0.0143838778169248
29,0.04020011,0.014160387473971
29,0.04030011,0.0139382435739507
29,0.04040011,0.0137175069348594
29,0.04050011,0.0134982154451871
29,0.04060011,0.0132804383363718
29,0.04070012,0.0130642151744643
29,0.04080012,0.0128496385351627
29,0.04090012,0.0126367361331837
29,0.04100012,0.0124256107969787
29,0.04110012,0.0122163382783602
29,0.04120012,0.0120089738131008
29,0.04130013,0.0118036260644086
29,0.04140013,0.0116003583057434
29,0.04150013,0.0113992823945889
29,0.04160013,0.0112005104859074
29,0.04170013,0.0110041158640406
29,0.04180013,0.0108102300413684
29,0.04190014,0.0106189533269071
29,0.04200014,0.0104304251017517
29,0.04210014,0.0102447896280041
29,0.04220014,0.0100621915031139
29,0.04230014,0.00988273359876096
29,0.04240014,0.00970661926704888
29,0.04250015,0.00953398828359904
29,0.04260015,0.00936500755034541
29,0.04270015,0.00919986463913408
29,0.04280015,0.00903873273591725
29,0.04290015,0.00888184990168556
29,0.04300015,0.00872938420950431
29,0.04310016,0.00858157851541687
29,0.04320016,0.00843862107859082
29,0.04330016,0.00830074953973779
29,0.04340016,0.00816821473306447
29,0.04350016,0.00804123192287253
29,0.04360016,0.00792006748430939
29,0.04370017,0.00780495261234923
29,0.04380017,0.00769614176259322
29,0.04390017,0.00759387629558683
29,0.04400017,0.00749839266817281
29,0.04410017,0.00740993080854463
29,0.04420017,0.00732873488713398
29,0.04430018,0.00725499223430125
29,0.04440018,0.00718894935961287
29,0.04450018,0.00713076428306166
29,0.04460018,0.0070805822505972
29,0.04470018,0.00703859945242224
29,0.04480018,0.00700489426479286
30,0.03620004,0.0207048160565058
30,0.03630004,0.0204488204229854
30,0.03640004,0.0201935280179039
30,0.03650004,0.0199389550458716
30,0.03660005,0.0196851069376398
30,0.03670005,0.019432005029671
30,0.03680005,0.019179659044959
30,0.03690005,0.0189280942788115
30,0.03700005,0.0186773137378945
30,0.03710005,0.0184273674784817
30,0.03720006,0.0181782691004785
30,0.03730006,0.0179299976801175
30,0.03740006,0.0176826239411974
30,0.03750006,0.0174361458446127
30,0.03760006,0.0171906051721772
30,0.03770006,0.0169459940311678
30,0.03780007,0.0167023921943288
30,0.03790007,0.0164597904612596
30,0.03800007,0.0162182435380997
30,0.03810007,0.0159777661222936
30,0.03820007,0.0157383873192601
30,0.03830007,0.0155001391949538
30,0.03840008,0.0152630995019034
30,0.03850008,0.0150272819271668
30,0.03860008,0.0147927114826019
30,0.03870008,0.0145594722967314
30,0.03880008,0.0143275879709814
30,0.03890008,0.0140970901928356
30,0.03900009,0.0138680704418127
30,0.03910009,0.0136405696848041
30,0.03920009,0.0134146537423223
30,0.03930009,0.0131903789306043
30,0.03940009,0.0129677940335307
30,0.03950009,0.0127470179906527
30,0.0396001,0.0125280892304787
30,0.0397001,0.0123110993951946
30,0.0398001,0.0120961415471556
30,0.0399001,0.0118832977664413
30,0.0400001,0.0116726499657295
30,0.04010011,0.0114643308606034
30,0.04020011,0.0112584154516337
30,0.04030011,0.0110550479776057
30,0.04040011,0.0108543402335756
30,0.04050011,0.0106564157974053
30,0.04060011,0.0104614219015296
30,0.04070012,0.0102695064153289
30,0.04080012,0.0100808067069717
30,0.04090012,0.00989549591855611
30,0.04100012,0.00971374699212206
30,0.04110012,0.00953572188113935
30,0.04120012,0.00936163418146491
30,0.04130013,0.00919167401849647
30,0.04140013,0.00902603763901167
30,0.04150013,0.00886496039945499
30,0.04160013,0.00870867997881483
30,0.04170013,0.00855739365600323
30,0.04180013,0.00841139646237091
30,0.04190014,0.00827090353393742
30,0.04200014,0.0081361856874204
30,0.04210014,0.00800751308844444
30,0.04220014,0.00788513758947196
30,0.04230014,0.00776937652572952
30,0.04240014,0.00766043664058541
30,0.04250015,0.00755861569988044
30,0.04260015,0.00746417781697495
30,0.04270015,0.00737740451410468
30,0.04280015,0.00729847139340332
30,0.04290015,0.00722768647666463
30,0.04300015,0.00716520163405811
30,0.04310016,0.00711122941955469
30,0.04320016,0.0070659272591628
30,0.04330016,0.00702944818671252
30,0.04340016,0.00700189486294404
31,0.03510002,0.0205484900191541
31,0.03520002,0.0202846470540628
31,0.03530002,0.0200215467616713
31,0.03540003,0.0197592426062269
31,0.03550003,0.0194977126516197
31,0.03560003,0.0192369961012534
31,0.03570003,0.0189771174205119
31,0.03580003,0.018718073936184
31,0.03590003,0.018459913623605
31,0.03600004,0.018202632282119
31,0.03610004,0.0179462810670926
31,0.03620004,0.017690862816862
31,0.03630004,0.0174364181993151
31,0.03640004,0.0171829599609972
31,0.03650004,0.0169305580342729
31,0.03660005,0.0166791898852584
31,0.03670005,0.0164288939957237
31,0.03680005,0.0161797276122743
31,0.03690005,0.01593171876345
31,0.03700005,0.0156849071856312
31,0.03710005,0.0154393248726365
31,0.03720006,0.0151950233991405
31,0.03730006,0.014952039453739
31,0.03740006,0.0147104277711189
31,0.03750006,0.0144702477428672
31,0.03760006,0.0142315288276836
31,0.03770006,0.0139943459697552
31,0.03780007,0.0137587605395939
31,0.03790007,0.0135248376863688
31,0.03800007,0.0132926363686069
31,0.03810007,0.0130622270635217
31,0.03820007,0.0128337039879229
31,0.03830007,0.0126071385207793
31,0.03840008,0.0123826068066431
31,0.03850008,0.0121602320041622
31,0.03860008,0.0119400981612968
31,0.03870008,0.0117222845403455
31,0.03880008,0.0115069413618818
31,0.03890008,0.0112941525353612
31,0.03900009,0.0110840682384112
31,0.03910009,0.0108768021525493
31,0.03920009,0.0106725136854999
31,0.03930009,0.0104713723515936
31,0.03940009,0.0102734838091485
31,0.03950009,0.0100790637236966
31,0.0396001,0.00988827490229691
31,0.0397001,0.009701306294805
31,0.0398001,0.00951833339063487
31,0.0399001,0.00933960587513978
31,0.0400001,0.00916532764015721
31,0.04010011,0.00899573679167421
31,0.04020011,0.00883105897239128
31,0.04030011,0.00867158169809932
31,0.04040011,0.00851753038962558
31,0.04050011,0.00836919525554341
31,0.04060011,0.00822685385546732
31,0.04070012,0.00809079895841781
31,0.04080012,0.00796131128838588
31,0.04090012,0.00783867963365655
31,0.04100012,0.00772322650288377
31,0.04110012,0.00761524632644728
31,0.04120012,0.00751500218416922
31,0.04130013,0.00742277928119708
31,0.04140013,0.00733887097197403
31,0.04150013,0.00726353543796554
31,0.04160013,0.00719699819285608
31,0.04170013,0.00713944474820756
31,0.04180013,0.00709111789058573
31,0.04190014,0.00705213646707953
31,0.04200014,0.00702263099044331
31,0.04210014,0.00700268660865214
32,0.0341,0.0203064133702478
32,0.03420001,0.0200350049432368
32,0.03430001,0.0197644208988244
32,0.03440001,0.0194946880218317
32,0.03450001,0.0192258138116251
32,0.03460001,0.0189578195943654
32,0.03470001,0.0186907458859074
32,0.03480002,0.0184246130759012
32,0.03490002,0.0181594313945878
32,0.03500002,0.0178952284368355
32,0.03510002,0.0176320341740306
32,0.03520002,0.0173698823269273
32,0.03530002,0.0171088048303412
32,0.03540003,0.0168488264212779
32,0.03550003,0.0165899851665972
32,0.03560003,0.016332322786088
32,0.03570003,0.0160758770524051
32,0.03580003,0.0158206854829466
32,0.03590003,0.0155667704494665
32,0.03600004,0.0153142220453553
32,0.03610004,0.0150630420407122
32,0.03620004,0.0148133146171126
32,0.03630004,0.0145650880918799
32,0.03640004,0.0143183967043725
32,0.03650004,0.0140734083406824
32,0.03660005,0.0138300223094203
32,0.03670005,0.0135884173091323
32,0.03680005,0.013348615286987
32,0.03690005,0.0131106926553584
32,0.03700005,0.0128748033203238
32,0.03710005,0.012640964923754
32,0.03720006,0.0124093188986245
32,0.03730006,0.0121799199897859
32,0.03740006,0.0119529302671548
32,0.03750006,0.0117284162106855
32,0.03760006,0.0115065286694
32,0.03770006,0.0112873986369437
32,0.03780007,0.0110711563725487
32,0.03790007,0.0108579387272511
32,0.03800007,0.0106479305637497
32,0.03810007,0.0104412572784067
32,0.03820007,0.0102381311623078
32,0.03830007,0.0100387447228126
32,0.03840008,0.00984324275730318
