NEH,pxt,RMSE
17,0.04880025,0.0223735153570274
17,0.04890025,0.0222101763577673
17,0.04900026,0.0220471432677159
17,0.04910026,0.0218844244462594
17,0.04920026,0.0217220043382907
17,0.04930026,0.0215598879843451
17,0.04940026,0.0213980952717277
17,0.04950026,0.0212366323861399
17,0.04960027,0.0210754865250047
17,0.04970027,0.020914661613598
17,0.04980027,0.0207541823060579
17,0.04990027,0.0205940291939833
18,0.04620021,0.0221973760805026
18,0.04630021,0.0220246066577479
18,0.04640021,0.0218521562255221
18,0.04650021,0.0216800566294815
18,0.04660022,0.0215083013748108
18,0.04670022,0.0213369032614215
18,0.04680022,0.0211658435994053
18,0.04690022,0.020995149717646
18,0.04700022,0.0208248153925235
18,0.04710022,0.0206548516198611
18,0.04720023,0.0204852592956176
18,0.04730023,0.0203160425825588
18,0.04740023,0.0201472144780155
18,0.04750023,0.0199787652380685
18,0.04760023,0.0198107237677946
18,0.04770023,0.0196430781791278
18,0.04780024,0.0194758325235082
18,0.04790024,0.0193090019607463
18,0.04800024,0.0191425989264575
18,0.04810024,0.0189766075247821
18,0.04820024,0.0188110502161209
18,0.04830024,0.0186459352574503
18,0.04840025,0.0184812744417303
18,0.04850025,0.0183170603558639
18,0.04860025,0.0181533114745262
18,0.04870025,0.0179900311960523
18,0.04880025,0.0178272221178332
18,0.04890025,0.0176649042063821
18,0.04900026,0.017503089149408
18,0.04910026,0.0173417778121369
18,0.04920026,0.017180974642889
18,0.04930026,0.0170207078637249
18,0.04940026,0.016860960358901
18,0.04950026,0.0167017655581027
18,0.04960027,0.0165431254696355
18,0.04970027,0.0163850590161433
18,0.04980027,0.0162275695062479
18,0.04990027,0.0160706699541688
19,0.04390017,0.0219722989678754
19,0.04400017,0.0217902165648343
19,0.04410017,0.0216085087866336
19,0.04420017,0.0214271892689379
19,0.04430018,0.0212462453231615
19,0.04440018,0.0210656913171241
19,0.04450018,0.0208855370394019
19,0.04460018,0.0207057838933163
19,0.04470018,0.0205264380610463
19,0.04480018,0.0203475013481994
19,0.04490019,0.0201689893067661
19,0.04500019,0.019990896030753
19,0.04510019,0.0198132356687546
19,0.04520019,0.0196360165651895
19,0.04530019,0.0194591873998163
19,0.04540019,0.0192828554272145
19,0.0455002,0.019106992716257
19,0.0456002,0.0189315860224392
19,0.0457002,0.0187566668277075
19,0.0458002,0.0185822216558169
19,0.0459002,0.0184082774195861
19,0.0460002,0.0182348268111727
19,0.04610021,0.0180618780524263
19,0.04620021,0.0178894681558472
19,0.04630021,0.0177175708456096
19,0.04640021,0.0175462174514842
19,0.04650021,0.0173754121486628
19,0.04660022,0.0172051669744573
19,0.04670022,0.0170354874227219
19,0.04680022,0.0168664043355125
19,0.04690022,0.0166979056046825
19,0.04700022,0.0165300151357063
19,0.04710022,0.0163627475782105
19,0.04720023,0.0161961179704445
19,0.04730023,0.0160301296456753
19,0.04740023,0.0158647964772906
19,0.04750023,0.01570016024922
19,0.04760023,0.0155361974128834
19,0.04770023,0.0153729601599861
19,0.04780024,0.0152104352159323
19,0.04790024,0.0150486626896442
19,0.04800024,0.0148876547555974
19,0.04810024,0.0147274083262541
19,0.04820024,0.0145679743991457
19,0.04830024,0.0144093676644911
19,0.04840025,0.0142515915863257
19,0.04850025,0.0140946844775111
19,0.04860025,0.0139386591490549
19,0.04870025,0.013783539713901
19,0.04880025,0.0136293605604628
19,0.04890025,0.0134761431591341
19,0.04900026,0.0133239005855919
19,0.04910026,0.0131726816730368
19,0.04920026,0.0130224899491849
19,0.04930026,0.0128733908932271
19,0.04940026,0.0127253829677074
19,0.04950026,0.0125785078518212
19,0.04960027,0.0124327896153005
19,0.04970027,0.0122882916257041
19,0.04980027,0.0121450261422146
19,0.04990027,0.0120030265579556
20,0.04180013,0.0218038580318722
20,0.04190014,0.0216124016718482
20,0.04200014,0.0214213656609538
20,0.04210014,0.0212307465467726
20,0.04220014,0.0210405646264296
20,0.04230014,0.020850803782439
20,0.04240014,0.0206614728259991
20,0.04250015,0.0204726070028595
20,0.04260015,0.020284181728871
20,0.04270015,0.0200962244501343
20,0.04280015,0.0199087180310371
20,0.04290015,0.0197217039600102
