NEH,pxt,RMSE,theo_A1/A0,exp_A1/A0,theo_t_A1/A0,exp_t_A1/A0
29,0.04870025,0.0143995150408003,0.8963767,1.00177706561819,2.381459,2.52767283287962
29,0.04880025,0.0145573396360882,0.8963767,1.00177706561819,2.384665,2.52767283287962
29,0.04890025,0.014716877624754,0.8963767,1.00177706561819,2.387872,2.52767283287962
29,0.04900026,0.0148780605832935,0.8963767,1.00177706561819,2.391079,2.52767283287962
29,0.04910026,0.0150408356856484,0.8963767,1.00177706561819,2.394287,2.52767283287962
29,0.04920026,0.0152051294783423,0.8963767,1.00177706561819,2.397496,2.52767283287962
29,0.04930026,0.0153708927641771,0.8963767,1.00177706561819,2.400705,2.52767283287962
29,0.04940026,0.0155380495298451,0.8963767,1.00177706561819,2.403915,2.52767283287962
29,0.04950026,0.0157065644582189,0.8963767,1.00177706561819,2.407126,2.52767283287962
29,0.04960027,0.0158763676211217,0.8963767,1.00177706561819,2.410337,2.52767283287962
29,0.04970027,0.016047425411449,0.8963767,1.00177706561819,2.413549,2.52767283287962
29,0.04980027,0.0162196723717495,0.8963767,1.00177706561819,2.416762,2.52767283287962
29,0.04990027,0.0163930843107304,0.8963767,1.00177706561819,2.419975,2.52767283287962
30,0.04710022,0.0144502913125371,0.8963767,1.00177706561819,2.379699,2.52767283287962
30,0.04720023,0.0146132621093692,0.8963767,1.00177706561819,2.383005,2.52767283287962
30,0.04730023,0.0147780677186312,0.8963767,1.00177706561819,2.386311,2.52767283287962
30,0.04740023,0.0149446212761465,0.8963767,1.00177706561819,2.389618,2.52767283287962
30,0.04750023,0.0151128484640715,0.8963767,1.00177706561819,2.392925,2.52767283287962
30,0.04760023,0.0152827067932273,0.8963767,1.00177706561819,2.396233,2.52767283287962
30,0.04770023,0.0154541086884941,0.8963767,1.00177706561819,2.399542,2.52767283287962
30,0.04780024,0.0156269932179767,0.8963767,1.00177706561819,2.402852,2.52767283287962
30,0.04790024,0.015801308690272,0.8963767,1.00177706561819,2.406162,2.52767283287962
30,0.04800024,0.0159769944289266,0.8963767,1.00177706561819,2.409473,2.52767283287962
30,0.04810024,0.0161539963161674,0.8963767,1.00177706561819,2.412784,2.52767283287962
30,0.04820024,0.0163322511533713,0.8963767,1.00177706561819,2.416097,2.52767283287962
30,0.04830024,0.0165117188112774,0.8963767,1.00177706561819,2.41941,2.52767283287962
30,0.04840025,0.0166923399007672,0.8963767,1.00177706561819,2.422723,2.52767283287962
30,0.04850025,0.0168740682729771,0.8963767,1.00177706561819,2.426038,2.52767283287962
30,0.04860025,0.0170568759507217,0.8963767,1.00177706561819,2.429353,2.52767283287962
30,0.04870025,0.0172406872090447,0.8963767,1.00177706561819,2.432669,2.52767283287962
30,0.04880025,0.0174254767983436,0.8963767,1.00177706561819,2.435985,2.52767283287962
30,0.04890025,0.017611214563288,0.8963767,1.00177706561819,2.439302,2.52767283287962
30,0.04900026,0.0177978398432053,0.8963767,1.00177706561819,2.442621,2.52767283287962
30,0.04910026,0.0179853224395205,0.8963767,1.00177706561819,2.445939,2.52767283287962
30,0.04920026,0.0181736333779413,0.8963767,1.00177706561819,2.449259,2.52767283287962
30,0.04930026,0.0183627426245944,0.8963767,1.00177706561819,2.452578,2.52767283287962
30,0.04940026,0.0185525983074796,0.8963767,1.00177706561819,2.455899,2.52767283287962
30,0.04950026,0.0187431659530298,0.8963767,1.00177706561819,2.45922,2.52767283287962
30,0.04960027,0.0189344441600102,0.8963767,1.00177706561819,2.462543,2.52767283287962
30,0.04970027,0.0191263727009644,0.8963767,1.00177706561819,2.465865,2.52767283287962
30,0.04980027,0.0193189370517268,0.8963767,1.00177706561819,2.469189,2.52767283287962
