NEH,pxt,RMSE,theo_A1/A0,exp_A1/A0,theo_t_A1/A0,exp_t_A1/A0
11,0.04970027,0.0391551598917631,0.9217725,0.89207336543525,1.497252,1.55349760770604
11,0.04980027,0.0390363234583338,0.9217725,0.89207336543525,1.49847,1.55349760770604
11,0.04990027,0.038917615351058,0.9217725,0.89207336543525,1.499689,1.55349760770604
12,0.0457002,0.03898412378331,0.9217725,0.89207336543525,1.496621,1.55349760770604
12,0.0458002,0.0388545851076155,0.9217725,0.89207336543525,1.497939,1.55349760770604
12,0.0459002,0.0387251820256985,0.9217725,0.89207336543525,1.499257,1.55349760770604
12,0.0460002,0.0385959212400016,0.9217725,0.89207336543525,1.500576,1.55349760770604
12,0.04610021,0.0384668029830309,0.9217725,0.89207336543525,1.501895,1.55349760770604
12,0.04620021,0.0383378289639762,0.9217725,0.89207336543525,1.503215,1.55349760770604
12,0.04630021,0.0382089895687206,0.9217725,0.89207336543525,1.504534,1.55349760770604
12,0.04640021,0.0380802971701641,0.9217725,0.89207336543525,1.505854,1.55349760770604
12,0.04650021,0.0379517441498429,0.9217725,0.89207336543525,1.507174,1.55349760770604
12,0.04660022,0.0378233348865143,0.9217725,0.89207336543525,1.508495,1.55349760770604
12,0.04670022,0.0376950652242404,0.9217725,0.89207336543525,1.509816,1.55349760770604
12,0.04680022,0.0375669445870582,0.9217725,0.89207336543525,1.511137,1.55349760770604
12,0.04690022,0.0374389660048107,0.9217725,0.89207336543525,1.512458,1.55349760770604
12,0.04700022,0.0373111379849869,0.9217725,0.89207336543525,1.51378,1.55349760770604
12,0.04710022,0.0371834501161523,0.9217725,0.89207336543525,1.515102,1.55349760770604
12,0.04720023,0.0370559095409507,0.9217725,0.89207336543525,1.516424,1.55349760770604
12,0.04730023,0.036928510729601,0.9217725,0.89207336543525,1.517746,1.55349760770604
12,0.04740023,0.0368012637027276,0.9217725,0.89207336543525,1.519069,1.55349760770604
12,0.04750023,0.0366741617602994,0.9217725,0.89207336543525,1.520392,1.55349760770604
12,0.04760023,0.0365472094086612,0.9217725,0.89207336543525,1.521715,1.55349760770604
12,0.04770023,0.0364204043242041,0.9217725,0.89207336543525,1.523039,1.55349760770604
12,0.04780024,0.0362937449666418,0.9217725,0.89207336543525,1.524362,1.55349760770604
12,0.04790024,0.0361672416219357,0.9217725,0.89207336543525,1.525687,1.55349760770604
12,0.04800024,0.0360408800285496,0.9217725,0.89207336543525,1.527011,1.55349760770604
12,0.04810024,0.0359146835865584,0.9217725,0.89207336543525,1.528336,1.55349760770604
12,0.04820024,0.0357886264725172,0.9217725,0.89207336543525,1.529661,1.55349760770604
12,0.04830024,0.0356627246311278,0.9217725,0.89207336543525,1.530986,1.55349760770604
12,0.04840025,0.0355369660026672,0.9217725,0.89207336543525,1.532311,1.55349760770604
12,0.04850025,0.0354113736254127,0.9217725,0.89207336543525,1.533637,1.55349760770604
12,0.04860025,0.0352859281712522,0.9217725,0.89207336543525,1.534963,1.55349760770604
12,0.04870025,0.0351606414043854,0.9217725,0.89207336543525,1.536289,1.55349760770604
12,0.04880025,0.035035510293997,0.9217725,0.89207336543525,1.537616,1.55349760770604
12,0.04890025,0.034910535425891,0.9217725,0.89207336543525,1.538943,1.55349760770604
12,0.04900026,0.0347857131780576,0.9217725,0.89207336543525,1.54027,1.55349760770604
12,0.04910026,0.034661047973266,0.9217725,0.89207336543525,1.541597,1.55349760770604
12,0.04920026,0.0345365376550861,0.9217725,0.89207336543525,1.542925,1.55349760770604
12,0.04930026,0.0344121965295932,0.9217725,0.89207336543525,1.544253,1.55349760770604
12,0.04940026,0.0342880017508323,0.9217725,0.89207336543525,1.545581,1.55349760770604
