NEH,px_t,RMSE,fNatIsotopes0,fNatIsotopes1,fNatIsotopes2,fNatIsotopes3,fNatIsotopes4,fNatIsotopes5,current_Exp_isotope_distribution_t0[0],current_Exp_isotope_distribution_t0[1],current_Exp_isotope_distribution_t0[2],current_Exp_isotope_distribution_t0[3],current_Exp_isotope_distribution_t0[4],current_Exp_isotope_distribution_t0[5],fLabIsotopes[0],fLabIsotopes[1],fLabIsotopes[2],fLabIsotopes[3],fLabIsotopes[4],fLabIsotopes[5],current_Exp_isotope_distribution[0],current_Exp_isotope_distribution[1],current_Exp_isotope_distribution[2],current_Exp_isotope_distribution[3],current_Exp_isotope_distribution[4],current_Exp_isotope_distribution[5],NumberOfHydrogens,PeptideSeq,SeqMass,Charge,Exp_time
28,0.03855948,0.0725453435432554,0.33779,0.33827,0.19815,0.08524,0.0294,0.00852,0.341665553703896,0.339768565517007,0.203530941279003,0.0865257848052951,0.0182213876580058,0.0102877670367927,0.1123048,0.238619,0.2605186,0.1944811,0.1113926,0.05207014,0.25560872565854,0.291193666688949,0.241883319171815,0.123851279608313,0.0682440977464656,0.0192189111259173,121,IHQYFGDLcSQLLSR,612.97357,3,1
28,0.04479649,0.0582215605364252,0.33779,0.33827,0.19815,0.08524,0.0294,0.00852,0.341665553703896,0.339768565517007,0.203530941279003,0.0865257848052951,0.0182213876580058,0.0102877670367927,0.09359309,0.2166647,0.2558555,0.2053161,0.1257731,0.0626224,0.201669677084519,0.278741852877538,0.23334268714462,0.153629710549249,0.0919504503435621,0.0406656220005125,121,IHQYFGDLcSQLLSR,612.97357,3,2
28,0.04580533,0.035696885320682,0.33779,0.33827,0.19815,0.08524,0.0294,0.00852,0.341665553703896,0.339768565517007,0.203530941279003,0.0865257848052951,0.0182213876580058,0.0102877670367927,0.09086386,0.2131636,0.2548253,0.2068229,0.1280439,0.06439049,0.150561383486476,0.258330797321972,0.258327542372213,0.171799273100674,0.0999042715987945,0.0610767321198705,121,IHQYFGDLcSQLLSR,612.97357,3,3
28,0.04599918,0.0158307235291519,0.33779,0.33827,0.19815,0.08524,0.0294,0.00852,0.341665553703896,0.339768565517007,0.203530941279003,0.0865257848052951,0.0182213876580058,0.0102877670367927,0.09034845,0.2124934,0.2546197,0.2071048,0.1284783,0.06473204,0.122480382238672,0.231623011866146,0.256443639054037,0.209436986244917,0.119706820360043,0.0603091602361844,121,IHQYFGDLcSQLLSR,612.97357,3,6
28,0.04599987,0.0144512190143705,0.33779,0.33827,0.19815,0.08524,0.0294,0.00852,0.341665553703896,0.339768565517007,0.203530941279003,0.0865257848052951,0.0182213876580058,0.0102877670367927,0.09034655,0.2124908,0.2546187,0.2071057,0.1284797,0.06473321,0.108971260788326,0.241493816175816,0.253328172731856,0.21120173799567,0.121841593261559,0.0631634190467717,121,IHQYFGDLcSQLLSR,612.97357,3,7
28,0.046,0.0108867797771132,0.33779,0.33827,0.19815,0.08524,0.0294,0.00852,0.341665553703896,0.339768565517007,0.203530941279003,0.0865257848052951,0.0182213876580058,0.0102877670367927,0.09034624,0.2124904,0.2546186,0.2071059,0.1284801,0.06473346,0.104300313570187,0.232240858214636,0.256130902548233,0.208662705134806,0.138512244440273,0.0601529760918652,121,IHQYFGDLcSQLLSR,612.97357,3,9
28,0.046,0.0114502663504304,0.33779,0.33827,0.19815,0.08524,0.0294,0.00852,0.341665553703896,0.339768565517007,0.203530941279003,0.0865257848052951,0.0182213876580058,0.0102877670367927,0.09034624,0.2124904,0.2546186,0.2071059,0.1284801,0.06473346,0.106043979126825,0.22673480101184,0.264582430595507,0.19534243561908,0.135016179927566,0.0722801737191818,121,IHQYFGDLcSQLLSR,612.97357,3,13
28,0.046,0.0106289327804048,0.33779,0.33827,0.19815,0.08524,0.0294,0.00852,0.341665553703896,0.339768565517007,0.203530941279003,0.0865257848052951,0.0182213876580058,0.0102877670367927,0.09034624,0.2124904,0.2546186,0.2071059,0.1284801,0.06473346,0.0813809293069385,0.219596799444467,0.260638944142272,0.223901780989144,0.138005348346032,0.0764761977711463,121,IHQYFGDLcSQLLSR,612.97357,3,16
28,0.046,0.0109425374898153,0.33779,0.33827,0.19815,0.08524,0.0294,0.00852,0.341665553703896,0.339768565517007,0.203530941279003,0.0865257848052951,0.0182213876580058,0.0102877670367927,0.09034624,0.2124904,0.2546186,0.2071059,0.1284801,0.06473346,0.0830242102075448,0.229191794453383,0.263136152956893,0.223880649113932,0.133564265825859,0.0672029274423876,121,IHQYFGDLcSQLLSR,612.97357,3,21
28,0.046,0.011080906622458,0.33779,0.33827,0.19815,0.08524,0.0294,0.00852,0.341665553703896,0.339768565517007,0.203530941279003,0.0865257848052951,0.0182213876580058,0.0102877670367927,0.09034624,0.2124904,0.2546186,0.2071059,0.1284801,0.06473346,0.0929887567587644,0.215170080835857,0.28047890632805,0.213748022523177,0.130709610348911,0.0669046232052406,121,IHQYFGDLcSQLLSR,612.97357,3,24
28,0.046,0.0149748665634691,0.33779,0.33827,0.19815,0.08524,0.0294,0.00852,0.341665553703896,0.339768565517007,0.203530941279003,0.0865257848052951,0.0182213876580058,0.0102877670367927,0.09034624,0.2124904,0.2546186,0.2071059,0.1284801,0.06473346,0.0818236737474143,0.224126287047933,0.241701904726266,0.229711070156417,0.146848671677798,0.0757883926441716,121,IHQYFGDLcSQLLSR,612.97357,3,31
